,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
0,3:23:26 PM,24.41,58.94,3:23:26 PM,23.07,61.05,3:23 PM,0:00:00,0,15:23:00,82,3:26:41 PM,98.6,0,1,90.32
0,3:23:56 PM,24.47,58.63,3:23:56 PM,23.08,61.01,5:00 PM,1:36:34,0,15:24:00,73,3:31:41 PM,98.79,0,1,93.94
0,3:24:26 PM,24.46,58.28,3:24:26 PM,23.1,61.07,5:00 PM,1:36:51,3.75,15:25:00,72,3:36:41 PM,98.79,0.02,2,95.92
0,3:24:56 PM,24.43,58.02,3:24:56 PM,23.1,60.98,5:02 PM,1:38:42,7,15:26:00,71,3:41:41 PM,98.7,-1.06,3,96.64
0,3:25:26 PM,24.39,57.78,3:25:26 PM,23.12,61.07,5:04 PM,1:40:52,10.25,15:27:00,84,3:46:41 PM,98.7,-0.09,4,97.15
0,3:25:56 PM,24.36,57.58,3:25:56 PM,23.11,61.03,5:06 PM,1:43:32,15.5,15:28:00,92,3:51:41 PM,98.75,0.65,4,97.56
0,3:26:26 PM,24.34,57.4,3:26:26 PM,23.1,61.04,5:08 PM,1:45:13,17.25,15:29:00,87,3:56:41 PM,98.81,0.76,4,98.37
0,3:26:56 PM,24.34,57.3,3:26:56 PM,23.1,60.93,5:11 PM,1:47:53,22,15:30:00,66,4:01:42 PM,98.81,0,4,98.15
0,3:27:26 PM,24.33,57.19,3:27:26 PM,23.13,61,5:13 PM,1:50:04,25,15:31:00,67,4:06:42 PM,98.92,1.3,4,98.01
0,3:27:56 PM,24.35,57.24,3:27:56 PM,23.15,60.95,5:15 PM,1:52:20,28,15:32:00,64,4:11:41 PM,99.05,1.51,4,98.66
0,3:28:26 PM,24.52,57.77,3:28:26 PM,23.14,60.84,5:18 PM,1:54:59,31,15:33:00,68,4:16:41 PM,99.12,0.86,4,98.78
0,3:28:56 PM,24.72,58.53,3:28:56 PM,23.16,60.9,5:20 PM,1:56:59,34,15:34:00,63,4:21:41 PM,99.19,0.86,4,98.6
0,3:29:26 PM,25.17,63.9,3:29:26 PM,23.16,60.82,5:21 PM,1:58:07,36,15:35:00,65,4:26:41 PM,99.26,0.76,4,97.9
0,3:29:56 PM,25.86,67.85,3:29:56 PM,23.18,60.78,5:23 PM,2:00:15,39,15:36:00,59,4:31:41 PM,99.33,0.86,4,97.58
0,3:30:26 PM,26.44,68.11,3:30:26 PM,23.17,60.82,5:25 PM,2:02:15,38.5,15:37:00,54,4:36:41 PM,99.35,0.22,4,97.49
0,3:30:56 PM,26.95,67.09,3:30:56 PM,23.19,60.73,5:29 PM,2:05:56,36.5,15:38:00,53,4:41:41 PM,99.31,-0.43,4,97.4
0,3:31:26 PM,27.37,66.02,3:31:26 PM,23.19,60.7,5:33 PM,2:10:03,30.75,15:39:00,60,4:46:41 PM,99.31,0,4,97.65
0,3:31:56 PM,27.76,64.97,3:31:56 PM,23.19,60.78,5:37 PM,2:14:33,23.25,15:40:00,64,4:51:41 PM,99.39,0.97,4,97.79
0,3:32:26 PM,28.07,64.13,3:32:26 PM,23.18,60.77,5:40 PM,2:16:55,20,15:41:00,61,4:56:41 PM,99.54,1.84,4,97.56
0,3:32:56 PM,28.37,63.36,3:32:56 PM,23.23,60.7,5:42 PM,2:19:28,17.5,15:42:00,62,5:01:41 PM,99.76,2.59,4,97.58
0,3:33:26 PM,28.64,62.69,3:33:26 PM,23.21,60.84,,,,15:43:00,63,5:06:41 PM,99.96,2.38,4,97.81
0,3:33:56 PM,28.9,62.06,3:33:56 PM,23.23,60.7,,,,15:44:00,59,5:11:41 PM,100.12,1.94,4,97.74
