"Flow: Off-body 10 minutes, on-body 20 minutes no heater, on-body with heater 40 minutes, begin walking for 1 hour",,,,,,,,,,,,,,,,
10:35:00 AM,10:45:00 AM,11:05:00 AM,11:45:00 AM,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
0,10:35:51,23.4,64.13,12:02:00 PM,22.78,59,11:05 AM,0:00:00,0,,,,,,,
0,10:36:21,23.4,64.04,12:11:00 PM,22.78,59,11:07 AM,0:02:00,0,,,,,,,
0,10:36:51,23.39,64,12:12:00 PM,24.44,55,11:09 AM,0:04:00,0,,,,,,,
0,10:37:21,23.43,64.12,12:16:00 PM,25,54,11:11 AM,0:06:00,0,,,,,,,
0,10:37:51,23.4,64.16,12:17:00 PM,25,54,11:13 AM,0:08:00,0,,,,,,,
0,10:38:21,23.38,64.17,12:19:00 PM,25,53,11:15 AM,0:10:00,0,,,,,,,
0,10:38:51,23.36,64.16,12:25:00 PM,25,53,11:17 AM,0:12:00,0,,,,,,,
0,10:39:21,23.31,64.07,12:26:00 PM,26.11,52,11:19 AM,0:14:00,0,,,,,,,
0,10:39:51,23.29,64.07,12:32:00 PM,26.11,52,11:21 AM,0:16:00,0,,,,,,,
0,10:40:21,23.25,64.05,12:33:00 PM,26.11,51,11:23 AM,0:18:00,0,,,,,,,
0,10:40:51,23.24,64,12:37:00 PM,26.11,51,11:25 AM,0:20:00,0,,,,,,,
0,10:41:21,23.18,64,12:38:00 PM,26.67,50,11:27 AM,0:22:00,0,,,,,,,
0,10:41:51,23.16,63.96,,,,11:29 AM,0:24:00,0,,,,,,,
0,10:42:21,23.14,63.92,,,,11:31 AM,0:26:00,0,,,,,,,
0,10:42:51,23.07,63.89,,,,11:33 AM,0:28:00,0,,,,,,,
0,10:43:21,23.09,63.88,,,,11:35 AM,0:30:00,0,,,,,,,
0,10:43:51,23.03,63.87,,,,11:37 AM,0:32:00,0,,,,,,,
0,10:44:21,23.05,63.8,,,,11:39 AM,0:34:00,0,,,,,,,
0,10:44:51,23.03,63.81,,,,11:41 AM,0:36:00,0,,,,,,,
0,10:45:21,23.04,63.76,,,,11:43 AM,0:38:00,0,,,,,,,
0,10:45:51,23.01,63.73,,,,11:45 AM,0:40:00,0,,,,,,,
0,10:46:21,22.99,63.68,,,,11:47 AM,0:42:00,0,,,,,,,
0,10:46:51,23,63.67,,,,11:49 AM,0:44:00,0,,,,,,,
0,10:47:21,22.99,63.66,,,,11:51 AM,0:46:00,0,,,,,,,
0,10:47:51,23.01,63.59,,,,11:53 AM,0:48:00,0,,,,,,,
0,10:48:21,23.17,64.54,,,,11:55 AM,0:50:00,0,,,,,,,
0,10:48:51,23.48,64.87,,,,11:57 AM,0:52:00,0,,,,,,,
0,10:49:21,23.76,65.59,,,,11:59 AM,0:54:00,0,,,,,,,
0,10:49:51,24.27,71.96,,,,12:01 PM,0:56:00,0,,,,,,,
0,10:50:21,24.77,74.04,,,,12:03 PM,0:58:00,0,,,,,,,
0,10:50:51,25.17,74.08,,,,12:05 PM,1:00:00,0,,,,,,,
0,10:51:21,25.62,73.17,,,,12:07 PM,1:02:00,0,,,,,,,
0,10:51:51,25.92,72.09,,,,12:09 PM,1:04:00,0,,,,,,,
0,10:52:21,26.16,71.12,,,,12:11 PM,1:06:00,0,,,,,,,
0,10:52:51,26.37,70.29,,,,12:13 PM,1:08:00,0,,,,,,,
0,10:53:21,26.48,69.64,,,,12:15 PM,1:10:00,0,,,,,,,
0,10:53:51,26.58,69.03,,,,12:17 PM,1:12:00,0,,,,,,,
0,10:54:21,26.63,68.49,,,,12:19 PM,1:14:00,0,,,,,,,
0,10:54:51,26.7,68.06,,,,12:21 PM,1:16:00,0,,,,,,,
0,10:55:21,26.79,67.65,,,,12:23 PM,1:18:00,0,,,,,,,
0,10:55:51,26.89,67.21,,,,12:24 PM,1:19:00,1,,,,,,,
0,10:56:21,26.9,66.8,,,,12:26 PM,1:21:00,1,,,,,,,
0,10:56:51,26.97,66.44,,,,12:28 PM,1:23:00,1,,,,,,,
0,10:57:21,26.99,66.06,,,,12:30 PM,1:25:00,2.5,,,,,,,
0,10:57:51,26.97,65.69,,,,12:32 PM,1:27:00,3.5,,,,,,,
0,10:58:21,26.98,65.41,,,,12:33 PM,1:28:00,4,,,,,,,
0,10:58:51,27,65.11,,,,12:34 PM,1:29:00,5,,,,,,,
0,10:59:21,27,64.85,,,,12:36 PM,1:31:00,6,,,,,,,
0,10:59:51,26.99,64.53,,,,12:38 PM,1:33:00,7,,,,,,,
0,11:00:21,26.98,64.3,,,,12:39 PM,1:34:00,7.5,,,,,,,
0,11:00:51,27.04,64.04,,,,12:40 PM,1:35:00,8,,,,,,,
0,11:01:21,27.05,63.75,,,,12:42 PM,1:37:00,9,,,,,,,
0,11:01:51,27.07,63.5,,,,12:44 PM,1:39:00,10,,,,,,,
0,11:02:21,27.06,63.31,,,,12:47 PM,1:42:00,11,,,,,,,
0,11:02:51,27.06,63.07,,,,12:49 PM,1:44:00,11,,,,,,,
0,11:03:21,27.05,62.88,,,,12:51 PM,1:46:00,11.5,,,,,,,
0,11:03:51,27.03,62.66,,,,12:53 PM,1:48:00,11.5,,,,,,,
0,11:04:22,27.03,62.44,,,,12:55 PM,1:50:00,11.5,,,,,,,
0,11:04:52,27,62.24,,,,12:57 PM,1:52:00,11,,,,,,,
0,11:05:22,27.03,62.08,,,,12:59 PM,1:54:00,11,,,,,,,
0,11:05:52,27.7,62.95,,,,,,,,,,,,,
0,11:06:22,28.59,62.37,,,,,,,,,,,,,
0,11:06:52,29.52,60.67,,,,,,,,,,,,,
