,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
0,4:57:04 AM,26.75,53.59,4:57:04 AM,26.57,49.8,4:55 AM,0:00:00,0,5:07:00,77,,,,,
0,4:59:04 AM,28.12,55.49,4:59:04 AM,27.2,49.08,6:15 AM,1:20:00,0,5:08:00,79,,,,,
0,5:01:04 AM,28.84,57.42,5:01:04 AM,27.83,46.92,6:15 AM,1:20:53,1.5,5:09:00,78,,,,,
0,5:03:04 AM,29.61,55.8,5:03:04 AM,27.88,44.89,6:17 AM,1:22:14,4.5,5:10:00,77,,,,,
0,5:05:04 AM,30.06,54.03,5:05:04 AM,28.19,44.04,6:18 AM,1:23:21,8.25,5:11:00,78,,,,,
0,5:07:04 AM,30.19,52.82,5:07:04 AM,28.53,43.37,6:19 AM,1:24:25,12.25,5:12:00,88,,,,,
0,5:09:04 AM,30.4,51.88,5:09:04 AM,28.76,42.99,6:20 AM,1:25:39,17.25,5:13:00,84,,,,,
0,5:11:04 AM,30.35,51.35,5:11:04 AM,28.83,42.51,6:22 AM,1:27:26,24.5,5:14:00,79,,,,,
0,5:13:04 AM,30.44,50.74,5:13:04 AM,29.17,42.15,6:23 AM,1:28:13,28,5:15:00,80,,,,,
0,5:15:04 AM,30.52,50.04,5:15:04 AM,29.07,41.86,6:24 AM,1:29:08,31.5,5:16:00,77,,,,,
0,5:17:04 AM,30.69,49.33,5:17:04 AM,29.26,41.57,6:29 AM,1:34:00,48,5:17:00,82,,,,,
0,5:19:04 AM,30.73,49.04,5:19:04 AM,29.49,41.04,6:29 AM,1:34:29,49,5:18:00,85,,,,,
0,5:21:04 AM,30.72,48.73,5:21:04 AM,29.68,40.83,6:31 AM,1:36:58,51.75,5:19:00,79,,,,,
0,5:23:04 AM,31.03,47.96,5:23:04 AM,29.56,41.12,6:34 AM,1:39:12,52.25,5:20:00,80,,,,,
0,5:25:04 AM,30.93,47.67,5:25:04 AM,29.68,40.7,6:37 AM,1:42:21,52.75,5:21:00,79,,,,,
0,5:27:04 AM,30.95,47.22,5:27:04 AM,29.68,40.71,6:42 AM,1:47:03,52.75,5:22:00,80,,,,,
0,5:29:04 AM,31.01,46.85,5:29:04 AM,29.75,40.44,6:45 AM,1:50:58,52,5:23:00,81,,,,,
0,5:31:04 AM,31.02,46.45,5:31:04 AM,29.66,40.58,6:51 AM,1:56:27,48,5:24:00,78,,,,,
0,5:33:04 AM,31.03,46.17,5:33:04 AM,29.81,40.64,7:00 AM,2:05:31,38,5:25:00,81,,,,,
0,5:35:04 AM,30.9,45.99,5:35:04 AM,29.77,40.61,7:07 AM,2:12:19,33,5:26:00,78,,,,,
0,5:37:04 AM,30.67,45.98,5:37:04 AM,29.89,41.06,7:14 AM,2:19:27,27,5:27:00,79,,,,,
0,5:39:04 AM,30.67,45.79,5:39:04 AM,29.66,40.99,7:27 AM,2:32:32,18,5:28:00,81,,,,,
0,5:41:04 AM,30.7,45.66,5:41:04 AM,29.79,41.02,7:33 AM,2:38:24,14.5,5:29:00,82,,,,,
0,5:43:04 AM,30.59,45.64,5:43:04 AM,29.77,41.08,7:47 AM,2:52:09,6.25,5:30:00,77,,,,,
