,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
,15:08:55,31.36,31.7,,,,,,,,,,,,,
,15:09:25,31.39,31.6,,,,,,,,,,,,,
,15:09:55,31.37,31.57,,,,,,,,,,,,,
,15:10:25,31.38,31.45,,,,,,,,,,,,,
,15:10:55,31.35,31.4,,,,,,,,,,,,,
,15:11:25,31.36,31.39,,,,,,,,,,,,,
,15:11:55,31.39,31.34,,,,,,,,,,,,,
,15:12:25,31.39,31.3,,,,,,,,,,,,,
,15:12:56,31.4,31.29,,,,,,,,,,,,,
,15:13:26,31.43,31.2,,,,,,,,,,,,,
,15:13:56,31.44,31.16,,,,,,,,,,,,,
,15:14:26,31.42,31.12,,,,,,,,,,,,,
,15:14:55,31.37,31.13,,,,,,,,,,,,,
,15:15:25,31.44,31.09,,,,,,,,,,,,,
,15:15:55,31.44,30.91,,,,,,,,,,,,,
,15:16:25,31.44,30.83,,,,,,,,,,,,,
,15:16:55,31.43,30.83,,,,,,,,,,,,,
,15:17:25,31.46,30.79,,,,,,,,,,,,,
,15:17:55,31.47,30.73,,,,,,,,,,,,,
,15:18:25,31.48,30.76,,,,,,,,,,,,,
,15:18:55,31.5,30.61,,,,,,,,,,,,,
,15:19:25,31.51,30.6,,,,,,,,,,,,,
,15:19:55,31.51,30.52,,,,,,,,,,,,,
,15:20:25,31.51,30.52,,,,,,,,,,,,,
,15:20:55,31.56,30.59,,,,,,,,,,,,,
,15:21:25,31.59,30.36,,,,,,,,,,,,,
,15:21:55,31.56,30.47,,,,,,,,,,,,,
,15:22:25,31.59,30.49,,,,,,,,,,,,,
,15:22:55,31.64,30.42,,,,,,,,,,,,,
,15:23:25,31.68,30.43,,,,,,,,,,,,,
,15:23:55,31.68,30.25,,,,,,,,,,,,,
,15:24:25,31.7,30.08,,,,,,,,,,,,,
,15:24:55,31.69,30.02,,,,,,,,,,,,,
,15:25:25,31.71,30.02,,,,,,,,,,,,,
,15:25:55,31.74,30,,,,,,,,,,,,,
,15:26:25,31.72,29.91,,,,,,,,,,,,,
,15:26:55,31.73,29.77,,,,,,,,,,,,,
,15:27:25,31.74,29.76,,,,,,,,,,,,,
,15:27:55,31.71,29.69,,,,,,,,,,,,,
,15:28:25,31.71,29.6,,,,,,,,,,,,,
,15:28:55,31.65,29.68,,,,,,,,,,,,,
,15:29:25,31.6,29.65,,,,,,,,,,,,,
,15:29:55,31.61,29.66,,,,,,,,,,,,,
,15:30:25,31.61,29.65,,,,,,,,,,,,,
,15:30:55,31.6,29.44,,,,,,,,,,,,,
,15:31:25,31.59,29.53,,,,,,,,,,,,,
,15:31:55,31.6,29.51,,,,,,,,,,,,,
,15:32:25,31.59,29.47,,,,,,,,,,,,,
,15:32:55,31.62,29.36,,,,,,,,,,,,,
,15:33:25,31.61,29.26,,,,,,,,,,,,,
,15:33:55,31.64,29.34,,,,,,,,,,,,,
,15:34:25,31.67,29.42,,,,,,,,,,,,,
,15:34:55,31.67,29.66,,,,,,,,,,,,,
,15:35:25,31.67,29.66,,,,,,,,,,,,,
,15:35:56,31.67,29.77,,,,,,,,,,,,,
,15:36:26,31.67,29.92,,,,,,,,,,,,,
,15:36:56,31.64,29.95,,,,,,,,,,,,,
,15:37:26,31.62,30.02,,,,,,,,,,,,,
,15:37:56,31.62,30.1,,,,,,,,,,,,,
,15:38:26,31.67,30.09,,,,,,,,,,,,,
,15:38:56,31.66,30.13,,,,,,,,,,,,,
,15:39:26,31.67,30.09,,,,,,,,,,,,,
,15:39:56,31.64,30.24,,,,,,,,,,,,,
,15:40:26,31.65,29.98,,,,,,,,,,,,,
,15:40:56,31.67,29.85,,,,,,,,,,,,,
,15:41:26,31.66,29.78,,,,,,,,,,,,,
,15:41:56,31.69,29.73,,,,,,,,,,,,,
,15:42:26,31.74,29.66,,,,,,,,,,,,,
,15:42:56,31.74,29.54,,,,,,,,,,,,,
