,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
,10:31:20,22.25,49.75,10:31:20,21.9,43,,,,,,,,,,
,10:31:50,22.27,49.66,10:31:50,21.9,43,,,,,,,,,,
,10:32:20,22.28,49.62,10:32:20,21.9,43,,,,,,,,,,
,10:32:50,22.27,49.6,10:32:50,21.9,43,,,,,,,,,,
,10:33:20,22.27,49.61,10:33:20,21.9,43,,,,,,,,,,
,10:33:50,22.27,49.55,10:33:50,21.9,43,,,,,,,,,,
,10:34:20,22.25,49.58,10:34:20,21.9,43,,,,,,,,,,
,10:34:50,22.27,49.61,10:34:50,21.9,43,,,,,,,,,,
,10:35:20,22.28,49.56,10:35:20,21.9,43,,,,,,,,,,
,10:35:50,22.28,49.53,10:35:50,21.9,43,,,,,,,,,,
,10:36:20,22.28,49.53,10:36:20,21.9,43,,,,,,,,,,
,10:36:50,22.27,49.55,10:36:50,21.9,43,,,,,,,,,,
,10:37:20,22.26,49.58,10:37:20,21.9,43,,,,,,,,,,
,10:37:50,22.26,49.57,10:37:50,21.9,43,,,,,,,,,,
,10:38:20,22.25,49.58,10:38:20,21.9,43,,,,,,,,,,
,10:38:50,22.28,49.61,10:38:50,21.9,43,,,,,,,,,,
,10:39:20,22.27,49.56,10:39:20,21.9,43,,,,,,,,,,
,10:39:50,22.26,49.58,10:39:50,21.9,43,,,,,,,,,,
,10:40:20,22.27,49.57,10:40:20,21.9,43,,,,,,,,,,
,10:40:50,22.26,49.59,10:40:50,21.9,43,,,,,,,,,,
,10:41:20,22.25,49.6,10:41:20,21.9,43,,,,,,,,,,
,10:41:50,22.27,49.64,10:41:50,21.9,43,,,,,,,,,,
,10:42:20,22.28,49.63,10:42:20,21.9,43,,,,,,,,,,
,10:42:51,22.28,49.7,10:42:51,21.9,43,,,,,,,,,,
,10:43:20,22.29,49.76,10:43:20,21.9,43,,,,,,,,,,
,10:43:50,22.32,49.71,10:43:50,21.9,43,,,,,,,,,,
,10:44:20,22.3,49.7,10:44:20,21.9,43,,,,,,,,,,
,10:44:50,22.33,49.84,10:44:50,21.9,43,,,,,,,,,,
,10:45:20,22.45,50.03,10:45:20,22,43,,,,,,,,,,
,10:45:50,22.58,50.06,10:45:50,22,43,,,,,,,,,,
,10:46:20,22.72,50.07,10:46:20,22,43,,,,,,,,,,
,10:46:50,22.86,49.99,10:46:50,22,43,,,,,,,,,,
,10:47:20,22.97,49.88,10:47:20,22,43,,,,,,,,,,
,10:47:50,23.09,49.76,10:47:50,22,43,,,,,,,,,,
,10:48:20,23.17,49.65,10:48:20,22,43,,,,,,,,,,
