,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chamber and Ambient Humidity Sensor,,,,,,Microfluidic,,,FitBit,,Core,,,,
Biking Speed (mph),Timestamp,Temperature (C),Room Humidity (%),Timestamp,Ambient Temperature (C),Ambient Humidity (%),Timestamp,Elapsed Time,Spoke #,Timestamp,HeartRate (bpm),Timestamp,CoreBodyTemp (F),TempChangeRate (F/h),TempQuality [1(poor) to 4(excellent)],SkinTemp (F)
,10:35:10,27.75,54.57,10:35:10,22.78,60,,,,,,,,,,
,10:35:40,27.76,53.48,10:35:40,22.78,60,,,,,,,,,,
,10:36:10,27.83,52.59,10:36:10,22.78,60,,,,,,,,,,
,10:36:40,27.92,51.86,10:36:40,22.78,60,,,,,,,,,,
,10:37:10,28.01,51.35,10:37:10,22.78,60,,,,,,,,,,
,10:37:40,28.09,51.03,10:37:40,22.78,60,,,,,,,,,,
,10:38:10,28.17,50.34,10:38:10,22.78,60,,,,,,,,,,
,10:38:40,28.22,49.92,10:38:40,22.78,60,,,,,,,,,,
,10:39:10,28.25,49.64,10:39:10,22.78,60,,,,,,,,,,
,10:39:40,28.3,49.59,10:39:40,22.78,60,,,,,,,,,,
,10:40:10,28.35,49.72,10:40:10,22.78,60,,,,,,,,,,
,10:40:40,28.43,49.61,10:40:40,22.78,60,,,,,,,,,,
,10:41:11,28.45,50.08,10:41:11,22.78,60,,,,,,,,,,
,10:41:40,28.53,50.5,10:41:40,22.78,60,,,,,,,,,,
,10:42:10,28.54,50.09,10:42:10,23.3,59,,,,,,,,,,
,10:42:40,28.58,49.68,10:42:40,23.3,59,,,,,,,,,,
,10:43:10,28.61,49.32,10:43:10,23.3,59,,,,,,,,,,
,10:43:40,28.68,49.03,10:43:40,23.3,59,,,,,,,,,,
,10:44:10,28.69,48.48,10:44:10,23.3,59,,,,,,,,,,
,10:44:40,28.71,48.74,10:44:40,23.3,59,,,,,,,,,,
,10:45:10,28.7,48.6,10:45:10,23.3,59,,,,,,,,,,
,10:45:40,28.71,48.75,10:45:40,23.3,59,,,,,,,,,,
,10:46:10,28.75,48.66,10:46:10,23.3,59,,,,,,,,,,
,10:46:40,28.83,48.38,10:46:40,23.3,59,,,,,,,,,,
,10:47:10,28.86,48.08,10:47:10,23.3,59,,,,,,,,,,
,10:47:40,28.87,48.04,10:47:40,23.3,59,,,,,,,,,,
,10:48:10,28.89,48.02,10:48:10,23.3,59,,,,,,,,,,
,10:48:40,28.89,47.91,10:48:40,23.3,59,,,,,,,,,,
,10:49:10,28.91,47.75,10:49:10,23.3,59,,,,,,,,,,
,10:49:41,28.95,47.65,10:49:41,23.3,59,,,,,,,,,,
,10:50:10,28.97,47.7,10:50:10,23.3,59,,,,,,,,,,
,10:50:40,28.99,47.62,10:50:40,23.3,59,,,,,,,,,,
,10:51:10,28.99,47.64,10:51:10,23.3,59,,,,,,,,,,
,10:51:41,29.03,47.23,10:51:41,23.3,59,,,,,,,,,,
,10:52:11,29.01,47.19,10:52:11,23.3,59,,,,,,,,,,
,10:52:41,29.03,47.22,10:52:41,23.3,59,,,,,,,,,,
,10:53:11,29.03,46.96,10:53:11,23.3,59,,,,,,,,,,
,10:53:41,29.06,46.9,10:53:41,23.3,59,,,,,,,,,,
,10:54:11,29.07,46.79,10:54:11,23.3,59,,,,,,,,,,
,10:54:41,29.02,46.65,10:54:41,23.3,59,,,,,,,,,,
,10:55:11,29.02,46.55,10:55:11,23.3,59,,,,,,,,,,
,10:55:41,29.01,46.5,10:55:41,23.3,59,,,,,,,,,,
,10:56:11,29.02,46.64,10:56:11,23.3,59,,,,,,,,,,
,10:56:41,29.04,46.76,10:56:41,23.3,59,,,,,,,,,,
,10:57:11,29.06,46.64,10:57:11,23.3,59,,,,,,,,,,
,10:57:41,29.18,46.44,10:57:41,23.3,59,,,,,,,,,,
,10:58:11,29.3,46.24,10:58:11,23.3,59,,,,,,,,,,
,10:58:41,29.48,46.05,10:58:41,23.3,59,,,,,,,,,,
,10:59:11,29.64,45.68,10:59:11,23.3,59,,,,,,,,,,
,10:59:41,29.79,45.36,10:59:41,23.3,59,,,,,,,,,,
,11:00:11,29.91,45.38,11:00:11,23.3,59,,,,,,,,,,
,11:00:41,30.03,45.35,11:00:41,23.3,59,,,,,,,,,,
,11:01:11,30.15,45.34,11:01:11,23.3,59,,,,,,,,,,
,11:01:41,30.26,45.21,11:01:41,23.3,59,,,,,,,,,,
,11:02:11,30.35,44.99,11:02:11,23.3,59,,,,,,,,,,
,11:02:42,30.43,44.77,11:02:42,23.3,59,,,,,,,,,,
,11:03:11,30.47,44.62,11:03:11,23.3,59,,,,,,,,,,
,11:03:41,30.52,44.45,11:03:41,23.3,59,,,,,,,,,,
,11:04:11,30.59,44.37,11:04:11,23.3,59,,,,,,,,,,
,11:04:41,30.64,44.32,11:04:41,23.3,59,,,,,,,,,,
,11:05:12,30.65,44.15,11:05:12,23.3,59,,,,,,,,,,
,11:05:41,30.68,44.11,11:05:41,23.3,59,,,,,,,,,,
,11:06:11,30.73,44.18,11:06:11,23.3,59,,,,,,,,,,
,11:06:41,30.76,44.33,11:06:41,23.3,59,,,,,,,,,,
,11:07:11,30.87,44.32,11:07:11,23.3,59,,,,,,,,,,
,11:07:41,30.95,44.21,11:07:41,23.3,59,,,,,,,,,,
,11:08:11,31.01,44.12,11:08:11,23.9,56,,,,,,,,,,
,11:08:41,31.08,44.05,11:08:41,23.9,56,,,,,,,,,,
,11:09:11,31.17,43.96,11:09:11,23.9,56,,,,,,,,,,
,11:09:41,31.25,43.82,11:09:41,23.9,56,,,,,,,,,,
,11:10:11,31.28,43.7,11:10:11,23.9,56,,,,,,,,,,
,11:10:41,31.32,43.67,11:10:41,23.9,56,,,,,,,,,,
,11:11:11,31.32,43.52,11:11:11,23.9,56,,,,,,,,,,
,11:11:41,31.35,43.49,11:11:41,23.9,56,,,,,,,,,,
,11:12:11,31.37,43.36,11:12:11,23.9,56,,,,,,,,,,
,11:12:41,31.37,43.28,11:12:41,23.9,56,,,,,,,,,,
,11:13:11,31.42,43.22,11:13:11,23.9,56,,,,,,,,,,
,11:13:41,31.36,43.19,11:13:41,23.9,56,,,,,,,,,,
,11:14:11,31.34,43.13,11:14:11,23.9,56,,,,,,,,,,
,11:14:41,31.33,43.04,11:14:41,23.9,56,,,,,,,,,,
,11:15:11,31.3,42.68,11:15:11,23.9,56,,,,,,,,,,
,11:15:41,31.23,42.58,11:15:41,23.9,56,,,,,,,,,,
,11:16:11,31.21,42.71,11:16:11,23.9,56,,,,,,,,,,
,11:16:41,31.21,42.7,11:16:41,23.9,56,,,,,,,,,,
,11:17:11,31.15,42.7,11:17:11,23.9,56,,,,,,,,,,
,11:17:41,31.21,42.8,11:17:41,23.9,56,,,,,,,,,,
,11:18:11,31.25,42.77,11:18:11,23.9,56,,,,,,,,,,
,11:18:41,31.28,42.63,11:18:41,23.9,56,,,,,,,,,,
,11:19:11,31.23,42.28,11:19:11,23.9,56,,,,,,,,,,
,11:19:41,31.24,42.26,11:19:41,23.9,56,,,,,,,,,,
,11:20:11,31.21,42.12,11:20:11,24.4,55,,,,,,,,,,
,11:20:41,31.19,42.25,11:20:41,24.4,55,,,,,,,,,,
,11:21:11,31.17,42.31,11:21:11,24.4,55,,,,,,,,,,
,11:21:41,31.16,42.52,11:21:41,24.4,55,,,,,,,,,,
,11:22:11,31.17,42.91,11:22:11,24.4,55,,,,,,,,,,
,11:22:41,31.16,50.41,11:22:41,24.4,55,,,,,,,,,,
,11:23:11,31.14,55.75,11:23:11,24.4,55,,,,,,,,,,
,11:23:42,31.15,56.97,11:23:42,24.4,55,,,,,,,,,,
,11:24:12,31.1,58.11,11:24:12,24.4,55,,,,,,,,,,
,11:24:42,31.1,58.04,11:24:42,24.4,55,,,,,,,,,,
,11:25:12,31.1,57.89,11:25:12,24.4,55,,,,,,,,,,
,11:25:42,31.07,58.55,11:25:42,24.4,55,,,,,,,,,,
,11:26:12,31.02,58.19,11:26:12,24.4,55,,,,,,,,,,
,11:26:42,31.01,57.48,11:26:42,24.4,55,,,,,,,,,,
,11:27:12,31.02,56.37,11:27:12,24.4,55,,,,,,,,,,
,11:27:42,31.01,55.45,11:27:42,24.4,55,,,,,,,,,,
,11:28:12,30.99,54.54,11:28:12,24.4,55,,,,,,,,,,
,11:28:42,30.99,53.8,11:28:42,24.4,55,,,,,,,,,,
,11:29:12,31.01,53.04,11:29:12,24.4,55,,,,,,,,,,
,11:29:42,30.96,52.28,11:29:42,24.4,55,,,,,,,,,,
,11:30:12,30.99,51.58,11:30:12,24.4,55,,,,,,,,,,
,11:30:42,31.04,51,11:30:42,24.4,55,,,,,,,,,,
,11:31:12,31.1,50.39,11:31:12,24.4,55,,,,,,,,,,
